network,rank,feature,random_walk_betweenness,degree,strength_abs_corr_sum
Healthy,11,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_paralvei,1.234768257461147,829,749.9050542317391
Healthy,12,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,1.2342181268051162,827,746.422607192064
Healthy,13,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_melliventris,1.232430202173016,829,749.9050542317391
Healthy,14,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_micraerophilus,1.2322926695090084,829,749.9050542317391
Healthy,15,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_veronii,1.2316050061889698,829,749.9050542317391
Healthy,16,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonamonadaceae|g__Dysgonomonas|s__Dysgonomonas_mossii,1.2307798102049237,829,749.4069553478146
Healthy,17,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_parabuchneri,1.230642277540916,829,749.9050542317391
Healthy,18,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_horneckiae,1.230229679548893,829,749.9050542317391
Healthy,19,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerocolumna,1.230092146884885,829,749.8883371707041
Healthy,20,k__Bacteria,1.2298170815568699,828,748.8029099281532
