feature,n_folds_selected
humann_KO_group_counts::K07070: uncharacterized protein,1
humann_KO_group_counts::K03885: NADH dehydrogenase [EC:1.6.99.3],1
metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,1
"humann_KO_group_counts::K11924: DtxR family transcriptional regulator, manganese transport regulator",1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02,1
humann_KO_group_counts::K01783: ribulose-phosphate 3-epimerase [EC:5.1.3.1],1
humann_KO_group_counts::K02048: sulfate/thiosulfate transport system substrate-binding protein,1
humann_pathway_counts::THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I,1
humann_KO_group_counts::K16211: maltose/moltooligosaccharide transporter,1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,1
humann_KO_group_counts::K03118: sec-independent protein translocase protein TatC,1
humann_KO_group_counts::K10709: fructoselysine 3-epimerase [EC:5.1.3.41],1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,1
humann_KO_group_counts::K09891: uncharacterized protein,1
humann_KO_group_counts::K18830: HTH-type transcriptional regulator / antitoxin PezA,1
humann_pathway_counts::PWY-6892: thiazole component of thiamine diphosphate biosynthesis I,1
humann_KO_group_counts::K01361: lactocepin [EC:3.4.21.96],1
humann_KO_group_counts::K15051: DNA-entry nuclease,1
humann_KO_group_counts::K07448: restriction system protein,1
humann_KO_group_counts::K10541: methyl-galactoside transport system permease protein,1
humann_KO_group_counts::K02361: isochorismate synthase [EC:5.4.4.2],1
"humann_KO_group_counts::K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]",1
