feature,n_folds_selected
metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,1
humann_KO_group_counts::K01308: g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11],1
humann_KO_group_counts::K01821: 4-oxalocrotonate tautomerase [EC:5.3.2.6],1
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,1
humann_KO_group_counts::K09004: uncharacterized protein,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,1
humann_KO_group_counts::K09974: uncharacterized protein,1
"humann_KO_group_counts::K08222: MFS transporter, YQGE family, putative transporter",1
humann_KO_group_counts::K03706: transcriptional pleiotropic repressor,1
humann_KO_group_counts::K02048: sulfate/thiosulfate transport system substrate-binding protein,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,1
humann_KO_group_counts::K02116: ATP synthase protein I,1
"humann_KO_group_counts::K08369: MFS transporter, putative metabolite:H+ symporter",1
humann_pathway_counts::PWY-7316: dTDP-N-acetylviosamine biosynthesis,1
humann_KO_group_counts::K19064: lysine 6-dehydrogenase [EC:1.4.1.18],1
metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,1
humann_pathway_counts::POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,1
humann_KO_group_counts::K11179: tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-],1
"humann_KO_group_counts::K01007: pyruvate, water dikinase [EC:2.7.9.2]",1
humann_KO_group_counts::K02796: mannose PTS system EIID component,1
humann_KO_group_counts::K03304: tellurite resistance protein,1
"humann_KO_group_counts::K18012: L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]",1
humann_KO_group_counts::K03399: cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289],1
humann_KO_group_counts::K14534: 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3],1
humann_KO_group_counts::K21473: peptidoglycan DL-endopeptidase RipA [EC:3.4.-.-],1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,1
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,1
"humann_KO_group_counts::K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]",1
humann_KO_group_counts::K07571: S1 RNA binding domain protein,1
humann_KO_group_counts::K02986: small subunit ribosomal protein S4,1
humann_KO_group_counts::K09807: uncharacterized protein,1
"humann_pathway_counts::PWY-7385: 1,3-propanediol biosynthesis (engineered)",1
humann_pathway_counts::7ALPHADEHYDROX-PWY,1
humann_KO_group_counts::K00728: dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109],1
humann_KO_group_counts::K09786: uncharacterized protein,1
humann_pathway_counts::PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis,1
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,1
humann_KO_group_counts::K03188: urease accessory protein,1
humann_KO_group_counts::K02598: nitrite transporter,1
humann_KO_group_counts::K09955: uncharacterized protein,1
humann_KO_group_counts::K07742: uncharacterized protein,1
humann_KO_group_counts::K06393: stage III sporulation protein AD,1
humann_KO_group_counts::K02263: cytochrome c oxidase subunit 4,1
humann_KO_group_counts::K07455: recombination protein RecT,1
humann_KO_group_counts::K06919: putative DNA primase/helicase,1
humann_KO_group_counts::K02242: competence protein ComFC,1
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,1
humann_KO_group_counts::K04047: starvation-inducible DNA-binding protein,1
humann_KO_group_counts::K03610: septum site-determining protein MinC,1
