feature,mean_gini_across_folds,n_folds_selected
humann_KO_group_counts::K03238: translation initiation factor 2 subunit 2,0.029595140178245063,1
humann_KO_group_counts::K17218: sulfide:quinone oxidoreductase [EC:1.8.5.4],0.028692321228894705,1
humann_KO_group_counts::K01821: 4-oxalocrotonate tautomerase [EC:5.3.2.6],0.02811241169752589,1
metaphlan_counts::k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae,0.02806670349830979,1
humann_KO_group_counts::K14742: tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,0.027432836473536122,1
humann_KO_group_counts::K08372: putative serine protease PepD [EC:3.4.21.-],0.026740782329358358,1
humann_KO_group_counts::K02116: ATP synthase protein I,0.026524518674915818,1
humann_KO_group_counts::K11179: tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-],0.02625136943460166,1
humann_KO_group_counts::K05303: O-methyltransferase [EC:2.1.1.-],0.025307349570728575,1
humann_KO_group_counts::K01191: alpha-mannosidase [EC:3.2.1.24],0.024594748613935166,1
humann_KO_group_counts::K03230: type III secretion protein V,0.024014516890067922,1
humann_KO_group_counts::K09955: uncharacterized protein,0.023682776712018693,1
Probiotic=Y,0.022900730325003886,1
humann_KO_group_counts::K19064: lysine 6-dehydrogenase [EC:1.4.1.18],0.022527484105289493,1
humann_KO_group_counts::K02263: cytochrome c oxidase subunit 4,0.019877463645086836,1
humann_KO_group_counts::K00823: 4-aminobutyrate aminotransferase [EC:2.6.1.19],0.019704985012257405,1
humann_KO_group_counts::K02598: nitrite transporter,0.018635418925489183,1
humann_KO_group_counts::K09015: Fe-S cluster assembly protein SufD,0.007714032732486894,1
"humann_KO_group_counts::K08369: MFS transporter, putative metabolite:H+ symporter",0.005107030493849186,1
